Index,CPU Frequencies,GPU Frequencies,Mem Frequencies,Initialization Time,Allocation Time,Copy To Device Time,Kernel Time,Copy Back and Merge Time,Deallocation Time,Real Time,User Time,System Time,Starttime,Endtime,ActivePower,IdlePower
553,1100000.0,177000000.0,206000000.0,2102.9539999999997,14.354000000000001,1277.12,6343.275,795.471,28.283,20073.0,6268.0,3418.0,11450666.0,11470781.0,3.392,2.639
554,1100000.0,177000000.0,275000000.0,1827.6529999999998,11.981,1148.336,4887.388,679.8,24.479,16518.0,5457.0,2967.0,11471138.0,11487691.0,3.526,2.675
555,1100000.0,177000000.0,413000000.0,1692.494,13.668,1012.409,4642.802,577.999,20.849,15277.0,4777.0,2613.0,11487992.0,11503297.0,3.567,2.705
556,1100000.0,177000000.0,543000000.0,1566.721,8.783,972.028,4324.982,541.0830000000001,19.006,14283.0,4443.0,2605.0,11503542.0,11517848.0,3.753,2.743
557,1100000.0,177000000.0,633000000.0,1526.236,8.555,888.602,4360.380999999999,490.977,18.299,14030.0,4267.0,2202.0,11518065.0,11532118.0,3.843,2.802
558,1100000.0,177000000.0,728000000.0,1500.328,7.854,857.669,4349.941,477.087,17.555999999999997,13809.0,4061.0,2235.0,11532319.0,11546148.0,3.75,2.846
559,1100000.0,177000000.0,825000000.0,1473.1779999999999,7.526,824.1239999999999,4435.873,459.449,17.224,13781.0,3908.0,2210.0,11546338.0,11560139.0,3.759,2.89
560,1200000.0,600000000.0,165000000.0,2084.256,16.144000000000002,1423.73,8262.679,906.3939999999999,30.914,25197.0,7056.0,3908.0,11560431.0,11585680.0,5.017,2.823
561,1200000.0,600000000.0,206000000.0,1908.672,13.828,1276.261,6543.544,782.1260000000001,27.291999999999998,20193.0,6209.0,3398.0,11586103.0,11606340.0,5.082,2.883
562,1200000.0,600000000.0,275000000.0,1720.783,11.519,1109.715,4679.777,638.256,23.287,15797.0,5295.0,2788.0,11606695.0,11622526.0,5.287,2.917
563,1200000.0,600000000.0,413000000.0,1542.899,9.26,960.14,3235.173,544.785,19.762,12056.0,4482.0,2482.0,11622817.0,11634900.0,5.575,3.062
564,1200000.0,600000000.0,543000000.0,1460.9620000000002,8.415,900.916,2614.41,487.39,17.889,10454.0,4183.0,2304.0,11635138.0,11645615.0,6.005,3.084
565,1200000.0,600000000.0,633000000.0,1422.875,7.816,871.372,2369.906,466.705,17.137,9708.0,4055.0,2172.0,11645831.0,11655561.0,6.121,3.206
566,1200000.0,600000000.0,728000000.0,1394.255,7.412000000000001,862.942,2130.805,451.019,16.430999999999997,9179.0,4035.0,2037.0,11655767.0,11664967.0,6.164,3.124
567,1200000.0,600000000.0,825000000.0,1371.364,7.207999999999999,812.207,1969.9779999999998,438.971,16.149,8745.0,3849.0,2059.0,11665161.0,11673926.0,6.603,3.225
568,1200000.0,543000000.0,165000000.0,2084.996,16.108,1393.878,8408.763,899.166,31.406,25189.0,6836.0,3720.0,11674232.0,11699472.0,4.444,2.848
569,1200000.0,543000000.0,206000000.0,1900.626,13.866,1225.364,6290.491999999999,764.732,27.1,19929.0,5989.0,3241.0,11699897.0,11719868.0,4.653,2.848
570,1200000.0,543000000.0,275000000.0,1724.22,11.539000000000001,1086.357,4609.486,624.302,23.28,15686.0,5153.0,2917.0,11720229.0,11735950.0,4.728,2.91
571,1200000.0,543000000.0,413000000.0,1542.6879999999999,9.456,961.187,3191.136,537.263,19.523,12056.0,4573.0,2409.0,11736241.0,11748324.0,5.179,2.958
